temperature_C	humidity	noiselevel_dB	illuminance_lux	regiao
22,3125	70,99609375	58,3667933062	239,84	mesaTV
22,3125	70,99609375	54,4815530575	240,16	mesaTV
22,3125	70,99609375	51,8172828085	240,48	mesaTV
22,3125	71,09375	49,7832747146	239,84	mesaTV
22,3125	70,99609375	49,9889940645	240,48	mesaTV
22,3125	71,09375	62,2926893056	240,8	mesaTV
22,3125	71,09375	60,6385784285	241,44	mesaTV
22,3125	71,09375	56,3986243644	238,56	mesaTV
22,3125	71,09375	49,5188096386	237,28	mesaTV
22,34375	71,09375	52,3009303574	237,28	mesaTV
22,34375	71,09375	51,4977502329	236,96	mesaTV
22,34375	71,09375	49,625701068	236,96	mesaTV
22,34375	71,09375	51,3392621987	236,96	mesaTV
22,34375	71,09375	50,0167172984	239,2	mesaTV
22,34375	71,09375	50,6186824044	238,56	mesaTV
22,34375	71,09375	47,5032382621	238,24	mesaTV
22,34375	71,09375	64,0688641767	238,56	mesaTV
22,34375	71,09375	49,8275310309	239,2	mesaTV
22,34375	71,09375	56,2938583989	239,2	mesaTV
22,34375	71,09375	55,9047842454	239,2	mesaTV
22,34375	71,09375	54,4727534329	238,24	mesaTV
22,34375	71,09375	47,8877338382	238,88	mesaTV
22,34375	71,09375	46,662699785	239,2	mesaTV
22,34375	71,09375	50,7708280421	238,88	mesaTV
22,34375	71,09375	50,2889547897	239,52	mesaTV
22,34375	71,09375	54,1241150692	239,84	mesaTV
22,34375	71,1853027344	49,9419073999	239,52	mesaTV
22,34375	71,1853027344	50,1900247095	238,88	mesaTV
22,375	71,1853027344	51,9758987724	239,52	mesaTV
22,375	71,1853027344	61,9481665657	239,52	mesaTV
22,375	71,1853027344	50,9386041073	239,84	mesaTV
22,375	71,1853027344	50,5109674994	239,52	mesaTV
22,375	71,1853027344	49,8896646675	238,24	mesaTV
22,375	71,1853027344	49,707929195	234,96	mesaTV
22,375	71,1853027344	48,2452412791	236,32	mesaTV
22,375	71,1853027344	48,4362831031	236,64	mesaTV
22,375	71,1853027344	51,9403992915	236,96	mesaTV
22,375	71,1853027344	49,3733492075	237,28	mesaTV
22,375	71,1853027344	52,0944777794	238,56	mesaTV
22,375	71,2829589844	48,2509298082	238,24	mesaTV
22,375	71,2829589844	53,365177516	237,6	mesaTV
22,375	71,2829589844	51,6570485575	238,56	mesaTV
22,375	71,2829589844	56,0690439112	237,6	mesaTV
22,375	71,2829589844	48,4089373036	238,24	mesaTV
22,375	71,2829589844	50,6449800325	238,56	mesaTV
22,40625	71,2829589844	48,9094667968	238,88	mesaTV
22,40625	71,3195800781	47,0803302295	238,88	mesaTV
22,40625	71,2829589844	49,6381317645	237,92	mesaTV
22,40625	71,3195800781	45,9417377076	237,92	mesaTV
22,40625	71,2829589844	48,6269699989	237,6	mesaTV
22,40625	71,3195800781	51,8300675667	237,92	mesaTV
22,40625	71,3195800781	50,2451104048	237,92	mesaTV
22,40625	71,3195800781	47,7968304712	238,24	mesaTV
22,40625	71,3195800781	49,2630048887	238,56	mesaTV
22,40625	71,3195800781	48,3132456747	238,24	mesaTV
22,40625	71,3195800781	52,264364226	237,28	mesaTV
22,40625	71,2829589844	49,0010807104	238,24	mesaTV
22,40625	71,4172363281	49,7812676792	238,88	mesaTV
22,40625	71,4172363281	49,349555855	238,24	mesaTV
22,40625	71,4172363281	52,1592093094	238,56	mesaTV
22,40625	71,4172363281	48,8733088445	238,24	mesaTV
22,40625	71,4172363281	55,2399986348	238,24	mesaTV
22,40625	71,4172363281	65,4675666829	238,88	mesaTV
22,40625	71,4172363281	66,8412641249	237,92	mesaTV
22,40625	71,4172363281	58,6891352429	237,92	mesaTV
22,4375	71,4172363281	55,953103032	238,56	mesaTV
22,4375	71,4172363281	59,4982385232	237,92	mesaTV
22,4375	71,4172363281	52,713196824	237,28	mesaTV
22,4375	71,5148925781	54,7586750591	236,64	mesaTV
22,4375	71,5148925781	55,3138790759	237,28	mesaTV
22,4375	71,5148925781	60,5815863665	236,64	mesaTV
22,4375	71,5148925781	77,2031619129	237,6	mesaTV
22,4375	71,5148925781	73,8071203705	237,6	mesaTV
22,4375	71,5148925781	78,1695426713	237,92	mesaTV
22,4375	71,5148925781	74,986799773	234	mesaTV
22,4375	71,5148925781	70,1966351321	235,28	mesaTV
22,4375	71,5148925781	69,1876298846	235,36	mesaTV
22,4375	71,5148925781	69,1275055908	235,36	mesaTV
22,4375	71,5148925781	75,5960858726	235,68	mesaTV
22,4375	71,6064453125	72,9585965011	235,36	mesaTV
22,4375	71,6064453125	68,1958434982	236,64	mesaTV
22,4375	71,6064453125	58,3752349731	236,96	mesaTV
22,4375	71,6064453125	58,5015796052	236	mesaTV
22,46875	71,6064453125	55,5930414411	234,32	mesaTV
22,4375	71,6064453125	61,7537726913	235,92	mesaTV
22,46875	71,6064453125	58,4076049673	234,96	mesaTV
22,4375	71,6064453125	59,7237338836	238,56	mesaTV
22,46875	71,6064453125	50,4113529703	237,6	mesaTV
22,46875	71,6064453125	49,5568062835	236,96	mesaTV
22,46875	71,6064453125	51,613194253	237,28	mesaTV
22,46875	71,6064453125	61,5148911599	237,92	mesaTV
22,46875	71,6064453125	53,7179830297	236	mesaTV
22,46875	71,6064453125	50,8925117251	236,64	mesaTV
22,46875	71,6064453125	59,7208227098	237,28	mesaTV
22,46875	71,6064453125	50,7104746723	237,6	mesaTV
22,46875	71,6064453125	53,7707872795	236,32	mesaTV
22,46875	71,6064453125	48,61872269	237,6	mesaTV
22,46875	71,6064453125	47,8145444186	237,6	mesaTV
22,46875	71,6064453125	51,4734553223	236,96	mesaTV
22,46875	71,6064453125	59,3331780609	236,64	mesaTV
22,46875	71,7041015625	62,5037430711	237,28	mesaTV
22,46875	71,7041015625	63,1566863939	234,64	mesaTV
22,46875	71,7041015625	59,7372360479	236,64	mesaTV
22,46875	71,7041015625	53,8459775338	237,28	mesaTV
22,46875	71,7041015625	52,4200362971	237,6	mesaTV
22,5	71,7041015625	52,0157918297	237,6	mesaTV
22,5	71,8017578125	53,0850669568	236,96	mesaTV
22,5	71,8017578125	50,9677182214	236,96	mesaTV
22,5	71,8017578125	48,7153191857	236,96	mesaTV
22,5	71,8017578125	47,053337007	237,28	mesaTV
22,5	71,8017578125	46,0991469132	236,96	mesaTV
22,5	71,8017578125	47,3815603017	236,32	mesaTV
22,5	71,8017578125	48,60921365	236,32	mesaTV
22,5	71,8017578125	47,0145813574	237,92	mesaTV
22,5	71,8017578125	52,5228607675	237,6	mesaTV
22,5	71,8017578125	49,3158728972	237,6	mesaTV
22,5	71,8017578125	48,3382639454	237,28	mesaTV
22,5	71,8017578125	45,8467091641	237,6	mesaTV
22,5	71,8017578125	48,7475719671	238,24	mesaTV
22,5	71,8017578125	51,4190223378	238,56	mesaTV
22,5	71,8994140625	48,3508523227	238,88	mesaTV
22,5	71,8994140625	51,2085419521	238,56	mesaTV
22,5	71,8994140625	51,2737431985	238,88	mesaTV
22,5	71,8994140625	50,9401384694	238,56	mesaTV
22,5	71,8994140625	51,6008722556	239,2	mesaTV
22,5	71,8994140625	43,8185552755	237,92	mesaTV
22,5	71,8994140625	44,8503461004	238,24	mesaTV
22,5	71,8994140625	54,0419209076	237,6	mesaTV
22,5	71,8994140625	45,4189245236	236,96	mesaTV
22,53125	71,8994140625	45,9700273835	237,28	mesaTV
22,53125	71,9970703125	46,4594230273	237,28	mesaTV
22,53125	71,9970703125	49,3706900703	237,28	mesaTV
22,53125	71,9970703125	51,8614554492	236,96	mesaTV
22,53125	71,9970703125	54,7284281095	235,36	mesaTV
22,53125	71,9970703125	60,0319455336	235,68	mesaTV
22,53125	71,9970703125	57,6151641226	236,32	mesaTV
22,53125	71,9970703125	54,5695308064	237,28	mesaTV
22,53125	71,9970703125	51,7112474653	237,92	mesaTV
22,53125	72,0886230469	47,7362714269	237,92	mesaTV
22,53125	72,0886230469	46,6911740216	237,28	mesaTV
22,53125	72,0886230469	49,6347835635	237,92	mesaTV
22,53125	72,0886230469	48,2364022795	237,6	mesaTV
22,53125	72,0886230469	46,1633857774	237,92	mesaTV
22,53125	72,0886230469	57,5938880112	237,28	mesaTV
22,53125	72,0886230469	69,2262177995	237,92	mesaTV
22,53125	72,0886230469	62,8963688872	237,6	mesaTV
22,53125	72,0886230469	66,651659718	237,6	mesaTV
22,53125	72,0886230469	62,4334301749	237,28	mesaTV
22,53125	72,0886230469	61,8887625009	237,28	mesaTV
22,53125	72,0886230469	54,6894110928	234,72	mesaTV
22,53125	72,0886230469	54,3079139349	235,68	mesaTV
22,53125	72,0886230469	49,5769540006	237,28	mesaTV
22,53125	72,0886230469	48,8418970103	236,32	mesaTV
22,5625	72,0886230469	56,71003689	236,64	mesaTV
22,5625	72,1862792969	60,2304431634	236,32	mesaTV
22,5625	72,1862792969	48,894252733	236,96	mesaTV
22,5625	72,1862792969	67,1864323078	236,96	mesaTV
22,5625	72,1862792969	65,1400825033	237,6	mesaTV
22,5625	72,1862792969	61,6192850984	236,96	mesaTV
22,5625	72,1862792969	47,8138988936	236,96	mesaTV
22,5625	72,1862792969	51,3099639276	236,32	mesaTV
22,5625	72,1862792969	46,5091973718	236,64	mesaTV
22,5625	72,1862792969	47,0752983005	237,28	mesaTV
22,5625	72,1862792969	48,9567776877	236,64	mesaTV
22,5625	72,1862792969	51,9108370729	237,6	mesaTV
22,5625	72,1862792969	52,1256834359	236,32	mesaTV
22,5625	72,1862792969	48,9097072777	235,68	mesaTV
22,5625	72,1862792969	47,6200399254	236,24	mesaTV
22,5625	72,1862792969	46,8643937563	234,72	mesaTV
22,5625	72,1862792969	45,8564477009	235,04	mesaTV
22,5625	72,1862792969	45,0411531616	235,68	mesaTV
22,5625	72,1862792969	49,2083440631	235,6	mesaTV
22,5625	72,2839355469	47,2540916111	236	mesaTV
22,5625	72,2839355469	53,5094926	235,68	mesaTV
22,5625	72,2839355469	52,5551083178	236	mesaTV
22,5625	72,2839355469	61,538755782	235,68	mesaTV
22,5625	72,2839355469	61,1129280832	236	mesaTV
22,5625	72,2839355469	57,7415943496	236,96	mesaTV
22,59375	72,2839355469	57,6380694885	236,64	mesaTV
22,59375	72,2839355469	50,0089614575	236,64	mesaTV
22,59375	72,2839355469	44,9898990029	236,64	mesaTV
22,59375	72,2839355469	47,8143936435	237,28	mesaTV
22,59375	72,2839355469	45,2273386147	236,64	mesaTV
22,59375	72,2839355469	50,5643543133	237,28	mesaTV
22,59375	72,2839355469	51,3919859838	236,64	mesaTV
22,59375	72,2839355469	51,5356359882	236,96	mesaTV
22,59375	72,3815917969	49,5318270396	237,28	mesaTV
22,59375	72,3815917969	48,6914672044	237,28	mesaTV
22,59375	72,3815917969	50,8715575353	237,6	mesaTV
22,59375	72,3815917969	51,6556195231	237,28	mesaTV
22,59375	72,3815917969	47,5594303554	237,28	mesaTV
22,59375	72,3815917969	49,0012871869	237,6	mesaTV
22,59375	72,3815917969	56,5821437209	237,6	mesaTV
22,59375	72,3815917969	47,8679129661	237,6	mesaTV
22,59375	72,3815917969	47,9146088031	236,96	mesaTV
22,59375	72,3815917969	52,0960436424	236	mesaTV
22,59375	72,3815917969	46,730706327	236,64	mesaTV
22,59375	72,3815917969	45,7883355748	236,64	mesaTV
22,59375	72,3815917969	57,2402972121	237,28	mesaTV
22,59375	72,3815917969	61,0885023464	236,32	mesaTV
22,59375	72,3815917969	61,4519318986	236,96	mesaTV
22,59375	72,3815917969	46,6068822632	236,64	mesaTV
22,625	72,4792480469	48,8434996051	236,96	mesaTV
22,625	72,4792480469	52,0926862447	235,68	mesaTV
22,625	72,4792480469	49,7873392511	236,32	mesaTV
22,625	72,4792480469	49,7630240783	236	mesaTV
22,625	72,4792480469	55,9720548138	235,36	mesaTV
22,625	72,4792480469	50,5854330929	236,64	mesaTV
22,625	72,4792480469	46,9991404778	236,32	mesaTV
22,625	72,4792480469	49,3110683119	236,64	mesaTV
22,625	72,4792480469	48,8144348738	236	mesaTV
22,625	72,4792480469	52,0519800297	236,32	mesaTV
22,625	72,4792480469	46,6049501827	235,68	mesaTV
22,625	72,4792480469	52,4968766167	237,6	mesaTV
22,625	72,4792480469	45,4191192214	238,24	mesaTV
22,625	72,4792480469	50,1799679851	238,56	mesaTV
22,625	72,4792480469	44,9315703036	238,88	mesaTV
22,625	72,4792480469	50,5210869596	238,24	mesaTV
22,625	72,4792480469	49,1794890795	237,28	mesaTV
22,625	72,4792480469	49,5870955212	238,24	mesaTV
22,625	72,4792480469	48,7492439845	237,6	mesaTV
22,625	72,4792480469	47,7606016729	237,6	mesaTV
22,625	72,4792480469	45,0241484637	236,96	mesaTV
22,625	72,5769042969	61,8609628527	237,6	mesaTV
22,625	72,5769042969	67,9637315728	236,96	mesaTV
22,625	72,5769042969	62,3862491415	237,92	mesaTV
22,625	72,5769042969	58,2973642189	238,24	mesaTV
22,625	72,5769042969	50,3406568957	238,56	mesaTV
22,625	72,5769042969	56,9119249659	238,24	mesaTV
22,625	72,5769042969	56,4106432697	234,64	mesaTV
22,65625	72,5769042969	70,9444927192	236,64	mesaTV
22,625	72,5769042969	71,7341706888	235,68	mesaTV
22,65625	72,5769042969	55,4039116002	236,64	mesaTV
22,65625	72,5769042969	54,6638929193	236,32	mesaTV
22,65625	72,5769042969	50,0190813213	235,68	mesaTV
22,65625	72,5769042969	50,3777763911	236	mesaTV
22,65625	72,6684570313	50,5734886138	236,32	mesaTV
22,65625	72,6684570313	65,2381914011	236,64	mesaTV
22,65625	72,6684570313	54,3005033446	236,32	mesaTV
22,65625	72,6684570313	52,7897990157	237,28	mesaTV
22,65625	72,6684570313	60,8910071467	237,28	mesaTV
22,65625	72,6684570313	57,9810202122	238,24	mesaTV
22,65625	72,6684570313	47,3323899233	237,92	mesaTV
22,65625	72,6684570313	49,45787752	238,24	mesaTV
22,65625	72,6684570313	50,8304126088	238,24	mesaTV
22,65625	72,6684570313	49,0386825827	238,56	mesaTV
22,65625	72,6684570313	51,1638409828	238,56	mesaTV
22,65625	72,6684570313	52,1741400185	238,24	mesaTV
22,65625	72,6684570313	47,9403779544	238,24	mesaTV
22,65625	72,6684570313	48,7824217479	237,6	mesaTV
22,65625	72,7661132813	48,5716499329	238,24	mesaTV
22,65625	72,7661132813	48,2646343184	237,6	mesaTV
22,65625	72,7661132813	47,1665019243	237,28	mesaTV
22,65625	72,7661132813	45,4170957028	236,32	mesaTV
22,65625	72,7661132813	43,9295000753	236	mesaTV
22,65625	72,7661132813	44,1889924515	236	mesaTV
22,65625	72,7661132813	48,0018506947	236,96	mesaTV
22,65625	72,7661132813	47,0709682422	237,6	mesaTV
22,65625	72,7661132813	48,0010760353	236,64	mesaTV
22,6875	72,7661132813	45,8275253778	237,92	mesaTV
22,6875	72,7661132813	45,843235767	237,28	mesaTV
22,65625	72,7661132813	49,0512096139	237,92	mesaTV
22,65625	72,7661132813	47,9945221614	236,32	mesaTV
22,6875	72,7661132813	60,7156144755	236,96	mesaTV
22,6875	72,7661132813	58,5446407664	236,32	mesaTV
22,6875	72,7661132813	62,7188733157	236,32	mesaTV
22,6875	72,8637695313	64,380346742	236,32	mesaTV
22,6875	72,7661132813	57,7352512805	236,32	mesaTV
22,6875	72,8637695313	55,3702822784	236,32	mesaTV
